APVA Structural Forecast Study v0.1
====================================================================================================
Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Node count: 34
Forecast count: 7709

1. One-Step Forecast
CurrentNode | ForecastNode | ForecastProbability | ForecastConfidence | ActualNode | Correct
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 58.82% | 29.41% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 96.39% | 95.18% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 87.50% | 81.25% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age11-20 | False
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | NeutralProcessing_Age11-20 | True
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | NeutralProcessing_Age11-20 | True
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | NeutralProcessing_Age11-20 | True
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | ConstructiveEmergence_Age1 | False
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 64.29% | 35.71% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 96.39% | 95.18% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 87.50% | 81.25% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | ReassertionProcessing_Age2 | False
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | 61.29% | 32.26% | DestructiveRotation_Age1 | True
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 26.98% | 1.59% | DecayToNeutral_Age1 | True
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 66.28% | 41.86% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 58.82% | 29.41% | CompressionProcessing_Age3 | True
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 60.00% | 43.33% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 56.52% | 28.26% | CompressionProcessing_Age1 | True
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 96.39% | 95.18% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 87.50% | 81.25% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age11-20 | False
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | NeutralProcessing_Age11-20 | True
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | NeutralProcessing_Age11-20 | True
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | MixedStructure_Age2 | False
MixedStructure_Age2 | NeutralProcessing_Age1 | 33.33% | 7.41% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 96.39% | 95.18% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 87.50% | 81.25% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 58.82% | 29.41% | CompressionProcessing_Age3 | True
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 60.00% | 43.33% | CompressionProcessing_Age4 | True
CompressionProcessing_Age4 | CompressionProcessing_Age5 | 44.44% | 33.33% | CompressionProcessing_Age5 | True
CompressionProcessing_Age5 | CompressionProcessing_Age6-10 | 37.50% | 0.00% | CompressionProcessing_Age6-10 | True
CompressionProcessing_Age6-10 | CompressionProcessing_Age6-10 | 66.67% | 44.44% | CompressionProcessing_Age6-10 | True
CompressionProcessing_Age6-10 | CompressionProcessing_Age6-10 | 66.67% | 44.44% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 56.52% | 28.26% | CompressionProcessing_Age1 | True
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 96.39% | 95.18% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 87.50% | 81.25% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age11-20 | False
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | NeutralProcessing_Age11-20 | True
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 58.82% | 29.41% | CompressionProcessing_Age3 | True
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 60.00% | 43.33% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 56.52% | 28.26% | CompressionProcessing_Age1 | True
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 58.82% | 29.41% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 37.25% | 15.69% | DecayToNeutral_Age1 | False
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 66.28% | 41.86% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | DestructiveRotation_Age1 | False
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 26.98% | 1.59% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 96.39% | 95.18% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 87.50% | 81.25% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | DestructiveRotation_Age1 | False
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 26.98% | 1.59% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 37.25% | 15.69% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 56.52% | 28.26% | RecoveryResolution_Age2 | False
RecoveryResolution_Age2 | RecoveryResolution_Age3 | 69.23% | 38.46% | RecoveryResolution_Age3 | True
RecoveryResolution_Age3 | CompressionProcessing_Age1 | 77.78% | 55.56% | CompressionProcessing_Age1 | True
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 58.82% | 29.41% | DecayToNeutral_Age1 | False
DecayToNeutral_Age1 | NeutralProcessing_Age1 | 66.28% | 41.86% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 56.52% | 28.26% | CompressionProcessing_Age1 | True
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 58.82% | 29.41% | CompressionProcessing_Age3 | True
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 60.00% | 43.33% | CompressionProcessing_Age4 | True
CompressionProcessing_Age4 | CompressionProcessing_Age5 | 44.44% | 33.33% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 96.39% | 95.18% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 87.50% | 81.25% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 37.25% | 15.69% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 56.52% | 28.26% | RecoveryResolution_Age2 | False
RecoveryResolution_Age2 | RecoveryResolution_Age3 | 69.23% | 38.46% | RecoveryResolution_Age3 | True
RecoveryResolution_Age3 | CompressionProcessing_Age1 | 77.78% | 55.56% | CompressionProcessing_Age1 | True
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 96.39% | 95.18% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 87.50% | 81.25% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | NeutralProcessing_Age4 | True
NeutralProcessing_Age4 | NeutralProcessing_Age5 | 96.39% | 95.18% | NeutralProcessing_Age5 | True
NeutralProcessing_Age5 | NeutralProcessing_Age6-10 | 87.50% | 81.25% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age6-10 | True
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 63.87% | 50.79% | NeutralProcessing_Age11-20 | False
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | NeutralProcessing_Age11-20 | True
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | NeutralProcessing_Age11-20 | True
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 67.57% | 56.76% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | ExhaustionPersistence_Age1 | False
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 37.25% | 15.69% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | CompressionProcessing_Age1 | False
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 58.82% | 29.41% | CompressionProcessing_Age3 | True
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 60.00% | 43.33% | CompressionProcessing_Age4 | True
CompressionProcessing_Age4 | CompressionProcessing_Age5 | 44.44% | 33.33% | RecoveryResolution_Age1 | False
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 56.52% | 28.26% | CompressionProcessing_Age1 | True
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 57.30% | 28.09% | CompressionProcessing_Age2 | True
CompressionProcessing_Age2 | CompressionProcessing_Age3 | 58.82% | 29.41% | CompressionProcessing_Age3 | True
CompressionProcessing_Age3 | CompressionProcessing_Age4 | 60.00% | 43.33% | CompressionProcessing_Age4 | True
CompressionProcessing_Age4 | CompressionProcessing_Age5 | 44.44% | 33.33% | DestructiveRotation_Age1 | False
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 26.98% | 1.59% | NeutralProcessing_Age1 | False
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | MixedStructure_Age1 | False
MixedStructure_Age1 | NeutralProcessing_Age1 | 35.52% | 16.39% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | NeutralProcessing_Age1 | True
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 58.92% | 43.77% | NeutralProcessing_Age2 | True
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 64.00% | 48.00% | NeutralProcessing_Age3 | True
NeutralProcessing_Age3 | NeutralProcessing_Age4 | 74.11% | 58.04% | ReassertionProcessing_Age1 | False
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 39.46% | 7.48% | ReassertionProcessing_Age2 | False
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | 61.29% | 32.26% | ReassertionProcessing_Age3 | False
